"","sessionCode","workerId","age","gender","language","qualification","effort","sincerity","sessionStart","sessionEnd","ipAddress","browserName","browserVersion","similarityClosed","similarityOpen","repetitionClosed","repetitionOpen","analogyClosed","analogyOpen","sessionEndTs","sessionStartTs","sessionDuration","quali","unit_id","created_at","id","started_at","tainted","channel","trust","worker_id","country","region","city","ip","conf_code","contributor_id","feedback","date","hour","dayblock","overall_cor","timeDragMedian","rel_cor"
"50","nqbtt81gs0r8",37392022,34,"female","en","university",2,"yes","Wed_Jun_01_2016_11-51-56","Wed_Jun_01_2016_12-11-42","99.113.92.181","Chrome",50,"no",NA,"yes","several stories involved hacking into something and it leading to damage","yes","Someone hits tree, tree falls, road is blocked",2016-06-01 12:11:42,2016-06-01 11:51:56,19.7666666666667,"university",964939932,"6/1/2016 17:11:33",2006016278,"6/1/2016 16:50:37","false","elite",1,37392022,"USA","LA","Baton Rouge","99.113.92.181","nqbtt81gs0r8-wgsk4qf6680d",37392022,"","2016-06-01",11,"morning",0.552083333333333,14939,0.638888888888889
"67","razt97ubhmol",31888345,21,"female","en","university",3,"yes","Wed_Jun_01_2016_11-55-32","Wed_Jun_01_2016_12-08-26","24.7.2.68","Chrome",50,"no",NA,"yes","It was always a cause and effect. A to B, B to C, etc.","yes","hacker makes a program, the program invades something, something loses data",2016-06-01 12:08:26,2016-06-01 11:55:32,12.9,"university",964939932,"6/1/2016 19:08:39",2006105975,"6/1/2016 18:55:13","false","instagc",1,31888345,"USA","CA","Hayward","24.7.2.68","razt97ubhmol-wgsk4qf6680d",31888345,"","2016-06-01",11,"morning",0.614583333333333,9388.5,0.694444444444444
"83","zonv9wslk46u",37118552,23,"female","en","university",2,"yes","Wed_Jun_01_2016_11-56-38","Wed_Jun_01_2016_12-15-26","207.225.34.214","Chrome",50,"yes","the second name of the statement was the first name of the next statement","no",NA,"no",NA,2016-06-01 12:15:26,2016-06-01 11:56:38,18.8,"university",964939932,"6/1/2016 18:15:48",2006068375,"6/1/2016 17:55:48","false","prodege",1,37118552,"USA","ID","Boise","207.225.34.214","zonv9wslk46u-wgsk4qf6680d",37118552,"","2016-06-01",11,"morning",0.427083333333333,13430.5,0.444444444444444
"31","an5hqnktztbt",37973995,47,"female","en","university",3,"yes","Wed_Jun_01_2016_12-15-23","Wed_Jun_01_2016_12-41-29","191.101.152.188","Chrome",51,"no",NA,"yes","The names where simmilar in the stories for example the last name of each story was the next one in the next story","no",NA,2016-06-01 12:41:29,2016-06-01 12:15:23,26.1,"university",964939932,"6/1/2016 17:13:00",2006017379,"6/1/2016 17:12:41","false","elite",1,37973995,"USA","IL","Chicago","191.101.152.188","an5hqnktztbt-wgsk4qf6680d",37973995,"","2016-06-01",12,"afternoon",0.708333333333333,13106.5,0.5
"30","aey6x33h96cs",37974953,24,"male","en","highschool",3,"yes","Wed_Jun_01_2016_12-17-57","Wed_Jun_01_2016_12-33-44","104.36.87.165","Chrome",50,"yes","they had the same structure","no",NA,"yes","I cannot remember the stories they were shown to quickly, I mostly memorized names",2016-06-01 12:33:44,2016-06-01 12:17:57,15.7833333333333,"highschool",964939932,"6/1/2016 16:41:22",2005996191,"6/1/2016 16:23:39","false","elite",1,37974953,"USA","TX","Dallas","104.36.87.165","aey6x33h96cs-wgsk4qf6680d",37974953,"","2016-06-01",12,"afternoon",0.833333333333333,11972.5,0.583333333333333
"37","e9h50jmqopz7",34726682,26,"male","en","highschool",3,"yes","Wed_Jun_01_2016_12-30-22","Wed_Jun_01_2016_12-49-43","52.91.37.35","Firefox",45,"no",NA,"no",NA,"yes","almost all the stories consist of 3 statements which were sequentially related to one another.",2016-06-01 12:49:43,2016-06-01 12:30:22,19.35,"highschool",964939932,"6/1/2016 16:54:05",2006004594,"6/1/2016 16:31:49","false","elite",1,34726682,"USA","VA","Ashburn","52.91.37.35","e9h50jmqopz7-wgsk4qf6680d",34726682,"","2016-06-01",12,"afternoon",0.677083333333333,13853,0.722222222222222
"1","0p5lpvlclyr2",33900426,37,"female","en","university",2,"yes","Wed_Jun_01_2016_12-41-14","Wed_Jun_01_2016_13-02-41","67.213.218.74","Chrome",50,"no","","no","","yes","All",2016-06-01 13:02:41,2016-06-01 12:41:14,21.45,"university",964939932,"6/1/2016 17:33:28",2006035425,"6/1/2016 17:09:52","false","neodev",1,33900426,"USA","UT","Providence","67.213.218.74","0p5lpvlclyr2-wgsk4qf6680d",33900426,"none","2016-06-01",12,"afternoon",0.90625,14295.5,1
"54","otnys0tlcsp9",34594876,25,"female","en","university",3,"yes","Wed_Jun_01_2016_12-42-18","Wed_Jun_01_2016_12-54-55","69.117.25.228","Chrome",50,"yes","X does something which causes an event that affects Y.","yes","The sentence structures repeated.","no",NA,2016-06-01 12:54:55,2016-06-01 12:42:18,12.6166666666667,"university",964939932,"6/1/2016 16:55:10",2006005217,"6/1/2016 16:42:01","false","tremorgames",1,34594876,"USA","NY","Holtsville","69.117.25.228","otnys0tlcsp9-wgsk4qf6680d",34594876,"","2016-06-01",12,"afternoon",0.677083333333333,9279,0.694444444444444
"9","368a2blg10yo",33427067,30,"female","en","university",3,"yes","Wed_Jun_01_2016_12-55-56","Wed_Jun_01_2016_13-15-05","24.41.68.35","Chrome",50,"no",NA,"no",NA,"no",NA,2016-06-01 13:15:05,2016-06-01 12:55:56,19.15,"university",964939932,"6/1/2016 17:15:21",2006019227,"6/1/2016 16:55:33","false","instagc",1,33427067,"USA","MA","South Hadley","24.41.68.35","368a2blg10yo-wgsk4qf6680d",33427067,"","2016-06-01",12,"afternoon",0.677083333333333,11629,0.694444444444444
"63","qwqvp7p1664c",18244116,38,"male","en","highschool",3,"yes","Wed_Jun_01_2016_13-01-52","Wed_Jun_01_2016_13-12-48","75.75.144.134","Firefox",46,"no",NA,"no",NA,"no",NA,2016-06-01 13:12:48,2016-06-01 13:01:52,10.9333333333333,"highschool",964939932,"6/1/2016 17:13:05",2006017441,"6/1/2016 17:01:16","false","instagc",1,15448937,"USA","PA","Lebanon","75.75.144.134","qwqvp7p1664c-wgsk4qf6680d",15448937,"This was very hard","2016-06-01",13,"afternoon",0.635416666666667,7750,0.416666666666667
"3","0rn21efqotza",1856261,64,"female","en","university",3,"yes","Wed_Jun_01_2016_13-12-11","Wed_Jun_01_2016_13-37-33","73.0.47.54","Chrome",50,"yes","one lead to the next then to the third","yes","subject verb object for 1 and 2, subject verb for third,","yes","employee assigned to project, project supports manager's agenda, manager gets promotion",2016-06-01 13:37:33,2016-06-01 13:12:11,25.3666666666667,"university",964939932,"6/1/2016 17:38:11",2006039046,"6/1/2016 17:37:48","false","prodege",1,1856261,"USA","FL","Palm City","73.0.47.54","0rn21efqotza-wgsk4qf6680d",1856261,"","2016-06-01",13,"afternoon",0.989583333333333,20793,1
"15","4yty1e390ewm",35408915,34,"male","en","highschool",3,"yes","Wed_Jun_01_2016_13-15-57","Wed_Jun_01_2016_13-33-35","108.69.154.115","Chrome",50,"no",NA,"no",NA,"no",NA,2016-06-01 13:33:35,2016-06-01 13:15:57,17.6333333333333,"highschool",964939932,"6/1/2016 17:34:10",2006035877,"6/1/2016 17:13:27","false","instagc",1,35408915,"USA","IN","Indianapolis","108.69.154.115","4yty1e390ewm-wgsk4qf6680d",35408915,"That was freakin hard!","2016-06-01",13,"afternoon",0.489583333333333,14023,0.555555555555556
"28","90w6mbbsyfn9",35685724,27,"male","en","highschool",3,"yes","Wed_Jun_01_2016_13-42-31","Wed_Jun_01_2016_14-02-39","162.223.94.60","Firefox",46,"yes","they were all made from 3 statements","no",NA,"no",NA,2016-06-01 14:02:39,2016-06-01 13:42:31,20.1333333333333,"highschool",964939932,"6/1/2016 18:03:04",2006058985,"6/1/2016 17:41:45","false","elite",1,35685724,"USA","DE","Wilmington","162.223.94.60","90w6mbbsyfn9-wgsk4qf6680d",35685724,"","2016-06-01",13,"afternoon",0.822916666666667,13173,0.805555555555556
"34","ddk6he67jy20",29521896,44,"female","en","highschool",3,"yes","Wed_Jun_01_2016_14-01-25","Wed_Jun_01_2016_14-18-44","24.13.247.252","Chrome",50,"no",NA,"no",NA,"no",NA,2016-06-01 14:18:44,2016-06-01 14:01:25,17.3166666666667,"highschool",964939932,"6/1/2016 19:19:06",2006113165,"6/1/2016 19:00:59","false","personaly",1,29521896,"USA","IL","Lincolnwood","24.13.247.252","ddk6he67jy20-wgsk4qf6680d",29521896,"","2016-06-01",14,"afternoon",0.635416666666667,12622.5,0.666666666666667
"5","1jxmswrvo6gh",749174,35,"female","en","university",2,"yes","Thu_Jun_02_2016_09-00-38","Thu_Jun_02_2016_09-23-42","67.142.114.103","Chrome",46,"no",NA,"no",NA,"no",NA,2016-06-02 09:23:42,2016-06-02 09:00:38,23.0666666666667,"university",965344562,"6/2/2016 14:23:54",2006975900,"6/2/2016 13:56:49","false","cotter",1,749174,"USA","","","67.142.114.103","1jxmswrvo6gh-wgsk4qf6680d",30,"","2016-06-02",9,"morning",0.40625,18345,0.555555555555556
"80","y6aa3buuu82c",37905051,24,"female","en","university",3,"yes","Thu_Jun_02_2016_09-05-12","Thu_Jun_02_2016_09-17-51","172.98.245.217","Chrome",50,"no",NA,"no",NA,"no",NA,2016-06-02 09:17:51,2016-06-02 09:05:12,12.65,"university",965344562,"6/2/2016 14:18:15",2006971612,"6/2/2016 14:04:52","false","prodege",1,37905051,"USA","TX","Matador","172.98.245.217","y6aa3buuu82c-wgsk4qf6680d",25,"","2016-06-02",9,"morning",0.84375,8538,0.833333333333333
"78","y1g01vovze22",37968169,26,"male","en","university",3,"yes","Thu_Jun_02_2016_09-27-10","Thu_Jun_02_2016_09-48-48","74.105.120.125","Chrome",50,"no",NA,"no",NA,"no",NA,2016-06-02 09:48:48,2016-06-02 09:27:10,21.6333333333333,"university",965344562,"6/2/2016 13:49:06",2006950254,"6/2/2016 13:26:35","false","cotter",1,37968169,"USA","NJ","Whippany","74.105.120.125","y1g01vovze22-wgsk4qf6680d",27,"","2016-06-02",9,"morning",0.854166666666667,9071,0.833333333333333
"49","n36haxpdef64",1,54,"female","en","university",3,"yes","Thu_Jun_02_2016_09-29-50","Thu_Jun_02_2016_09-48-53","173.168.223.3","Firefox",46,"no",NA,"no",NA,"yes","the sentences were arranged in the same way",2016-06-02 09:48:53,2016-06-02 09:29:50,19.05,"university",965344562,"6/2/2016 13:49:07",2006950262,"6/2/2016 13:29:21","false","gifthulk",1,31714628,"USA","FL","Spring Hill","173.168.223.3","n36haxpdef64-wgsk4qf6680d",34,"","2016-06-02",9,"morning",0.46875,13570.5,0.527777777777778
"39","efl3fzp54qku",14237967,34,"female","en","university",3,"yes","Thu_Jun_02_2016_09-44-57","Thu_Jun_02_2016_09-56-43","206.55.101.94","Chrome",50,"yes","Difficult names. Connections seemed to be cause and effect. Difficult to remember!","no",NA,"no",NA,2016-06-02 09:56:43,2016-06-02 09:44:57,11.7666666666667,"university",965344562,"6/2/2016 13:56:50",2006955346,"6/2/2016 13:44:44","false","prodege",1,14237967,"USA","GA","Atlanta","206.55.101.94","efl3fzp54qku-wgsk4qf6680d",3,"","2016-06-02",9,"morning",0.479166666666667,9384,0.388888888888889
"23","7ovb7z7a4zk3",1,24,"female","en","university",3,"yes","Thu_Jun_02_2016_10-11-38","Thu_Jun_02_2016_10-30-17","71.81.155.247","Chrome",50,"no",NA,"no",NA,"yes","The statement order was similiar. X does Y. Y does Z. Z does.",2016-06-02 10:30:17,2016-06-02 10:11:38,18.65,"university",965344562,"6/2/2016 15:30:33",2007016556,"6/2/2016 15:10:26","false","prodege",1,37892437,"USA","IL","Wood River","71.81.155.247","7ovb7z7a4zk3-wgsk4qf6680d",35,"","2016-06-02",10,"morning",0.635416666666667,14276,0.555555555555556
"46","lbeemar5cb0u",34470383,25,"male","en","highschool",3,"yes","Thu_Jun_02_2016_10-13-35","Thu_Jun_02_2016_10-34-29","104.250.122.132","Firefox",46,"yes","all stories consist of 3 part statements related to each other","no",NA,"no",NA,2016-06-02 10:34:29,2016-06-02 10:13:35,20.9,"highschool",965344562,"6/2/2016 14:34:47",2006983386,"6/2/2016 14:12:53","false","elite",1,34470383,"USA","CA","Los Angeles","104.250.122.132","lbeemar5cb0u-wgsk4qf6680d",16,"","2016-06-02",10,"morning",0.90625,10261,0.916666666666667
"57","pnfpvhtwha5z",19767815,37,"female","en","highschool",3,"yes","Thu_Jun_02_2016_10-58-39","Thu_Jun_02_2016_11-10-51","107.204.185.88","Firefox",46,"no",NA,"no",NA,"no",NA,2016-06-02 11:10:51,2016-06-02 10:58:39,12.2,"highschool",965344562,"6/2/2016 16:11:31",2007037917,"6/2/2016 15:56:25","false","prodege",1,9559045,"USA","TX","Katy","107.204.185.88","pnfpvhtwha5z-wgsk4qf6680d",31,"","2016-06-02",10,"morning",0.427083333333333,9249,0.388888888888889
"11","4e3b4uwv3huu",21843889,26,"male","en","university",3,"yes","Thu_Jun_02_2016_11-48-09","Thu_Jun_02_2016_12-02-59","173.2.27.116","Chrome",50,"no",NA,"no",NA,"no",NA,2016-06-02 12:02:59,2016-06-02 11:48:09,14.8333333333333,"university",965344562,"6/2/2016 16:12:20",2007038334,"6/2/2016 16:03:11","false","clixsense",1,21843889,"USA","NY","Woodmere","173.2.27.116","4e3b4uwv3huu-wgsk4qf6680d",7,"","2016-06-02",11,"morning",0.895833333333333,12908,0.805555555555556
"60","qm14dx637h2l",6340330,60,"female","en","highschool",3,"yes","Thu_Jun_02_2016_13-47-36","Thu_Jun_02_2016_14-11-14","74.70.208.198","Chrome",50,"no",NA,"no",NA,"no",NA,2016-06-02 14:11:14,2016-06-02 13:47:36,23.6333333333333,"highschool",965344562,"6/2/2016 18:11:15",2007117507,"6/2/2016 17:45:59","false","clixsense",1,6340330,"USA","NY","Queensbury","74.70.208.198","qm14dx637h2l-wgsk4qf6680d",29,"it was hard to remember the names, very strange names","2016-06-02",13,"afternoon",0.677083333333333,19459,0.5
"27","8vtmn4bwrenn",37666276,28,"female","en","university",3,"yes","Thu_Jun_02_2016_13-53-43","Thu_Jun_02_2016_14-14-05","174.101.83.46","Firefox",46,"yes","I noticed that all of the names were native, foreign names, and that many of them involved scientific scenarios and objects, as well as nature-related scenarios and objects.","no",NA,"no",NA,2016-06-02 14:14:05,2016-06-02 13:53:43,20.3666666666667,"university",965344562,"6/2/2016 18:14:31",2007119746,"6/2/2016 17:51:35","false","instagc",1,37666276,"USA","OH","Marion","174.101.83.46","8vtmn4bwrenn-wgsk4qf6680d",22,"","2016-06-02",13,"afternoon",1,13984.5,1
"70","rp6ykwwq06f1",37089840,31,"other","en","university",2,"yes","Thu_Jun_02_2016_13-57-26","Thu_Jun_02_2016_14-15-47","74.79.243.104","Chrome",51,"yes","All but one had a structure of ""A does something to B, B does something to C, C undergoes something.""","yes","The structure was repeating in almost all the stories.","yes","They almost all had the same structure. There was one where a fox digs a tunnel, a tunnel leads to the coop of a chicken, and the chicken is devoured. There was one where a hacker writes computer code, the computer code breaches the firewall of a company, and the company suffers data loss.",2016-06-02 14:15:47,2016-06-02 13:57:26,18.35,"university",965344562,"6/2/2016 18:16:04",2007120828,"6/2/2016 17:56:26","false","prodege",1,37089840,"USA","NY","Oswego","74.79.243.104","rp6ykwwq06f1-wgsk4qf6680d",18,"","2016-06-02",13,"afternoon",0.854166666666667,12192,0.833333333333333
"24","7ru2rnfcefjh",2669113,43,"female","en","university",3,"yes","Thu_Jun_02_2016_14-59-30","Thu_Jun_02_2016_15-13-32","68.201.7.12","Chrome",50,"yes","They all had very unusual names","no",NA,"no",NA,2016-06-02 15:13:32,2016-06-02 14:59:30,14.0333333333333,"university",965344562,"6/2/2016 20:13:40",2007223175,"6/2/2016 19:58:46","false","prodege",1,2669113,"USA","AL","Birmingham","68.201.7.12","7ru2rnfcefjh-wgsk4qf6680d",9,"","2016-06-02",14,"afternoon",0.5625,9266,0.444444444444444
"41","gjdk945swc1b",33294824,24,"male","en","university",2,"yes","Thu_Jun_02_2016_15-11-46","Thu_Jun_02_2016_15-34-16","75.115.13.68","Chrome",50,"yes","the similarities was in the actions, like ""captured"" invaded"" inclued some stories","no",NA,"no",NA,2016-06-02 15:34:16,2016-06-02 15:11:46,22.5,"university",965344562,"6/2/2016 20:04:29",2007218101,"6/2/2016 19:40:55","false","neodev",1,33294824,"USA","FL","Tampa","75.115.13.68","gjdk945swc1b-wgsk4qf6680d",10,"","2016-06-02",15,"afternoon",0.583333333333333,21479.5,0.611111111111111
"81","yznyel2tvdq8",1731155,22,"female","en","university",2,"yes","Thu_Jun_02_2016_15-21-17","Thu_Jun_02_2016_15-34-46","173.171.151.124","Chrome",50,"no",NA,"no",NA,"no",NA,2016-06-02 15:34:46,2016-06-02 15:21:17,13.4833333333333,"university",965344562,"6/2/2016 19:35:13",2007200909,"6/2/2016 19:21:04","false","tremorgames",1,36099223,"USA","FL","Bradenton","173.171.151.124","yznyel2tvdq8-wgsk4qf6680d",5,"","2016-06-02",15,"afternoon",0.697916666666667,9695,0.555555555555556
"76","xpd7yvpzw9f0",13473930,34,"female","en","highschool",3,"yes","Thu_Jun_02_2016_15-23-58","Thu_Jun_02_2016_15-42-58","72.196.147.205","Chrome",50,"yes","They seemed to be about the law.","no",NA,"no",NA,2016-06-02 15:42:58,2016-06-02 15:23:58,19,"highschool",965344562,"6/2/2016 19:43:11",2007205837,"6/2/2016 19:22:53","false","instagc",1,13473930,"USA","OH","Cleveland","72.196.147.205","xpd7yvpzw9f0-wgsk4qf6680d",2,"This task was kind of hard but fun.","2016-06-02",15,"afternoon",1,12892,1
"56","pczzot0u9ewq",25295869,73,"male","en","university",3,"yes","Thu_Jun_02_2016_15-38-20","Thu_Jun_02_2016_15-55-03","71.251.189.166","Firefox",46,"no",NA,"no",NA,"no",NA,2016-06-02 15:55:03,2016-06-02 15:38:20,16.7166666666667,"university",965344562,"6/2/2016 19:56:18",2007213451,"6/2/2016 19:55:36","false","clixsense",1,25295869,"USA","VA","Norfolk","71.251.189.166","pczzot0u9ewq-wgsk4qf6680d",8,"","2016-06-02",15,"afternoon",0.395833333333333,14587,0.638888888888889
"43","j5w3u9rfaobr",1,23,"male","en","university",3,"yes","Thu_Jun_02_2016_15-54-35","Thu_Jun_02_2016_16-08-41","173.74.132.73","Chrome",50,"yes","They used the same, if not similar, names. This made one bit confusing.","yes","Uyim, and Keshim.","no",NA,2016-06-02 16:08:41,2016-06-02 15:54:35,14.1,"university",965344562,"6/2/2016 21:09:39",2007258549,"6/2/2016 20:54:27","false","tremorgames",1,37848939,"USA","TX","Garland","173.74.132.73","j5w3u9rfaobr-wgsk4qf6680d",33,"I had severe trouble remembering the first name, due to how little time it spends on screen compared to the other two.","2016-06-02",15,"afternoon",0.78125,10505,0.833333333333333
"42","h29kpnox41kq",1,19,"female","en","highschool",3,"yes","Thu_Jun_02_2016_16-02-21","Thu_Jun_02_2016_16-18-46","50.83.142.48","Safari",9,"no",NA,"no",NA,"yes","All of the stories were something causing something which results in something.",2016-06-02 16:18:46,2016-06-02 16:02:21,16.4166666666667,"highschool",965344562,"6/2/2016 21:19:38",2007266058,"6/2/2016 21:02:09","false","prodege",1,35975156,"USA","MO","Columbia","50.83.142.48","h29kpnox41kq-wgsk4qf6680d",4,"Your instruction example has a wrong nonsense name in the answer!","2016-06-02",16,"afternoon",0.84375,14260.5,0.833333333333333
"77","xqw1bpm1tmw4",1,19,"female","en","highschool",2,"yes","Thu_Jun_02_2016_16-06-30","Thu_Jun_02_2016_16-23-00","74.103.181.243","Chrome",50,"no",NA,"no",NA,"yes","object action object",2016-06-02 16:23:00,2016-06-02 16:06:30,16.5,"highschool",965344562,"6/2/2016 20:23:27",2007228984,"6/2/2016 20:06:21","false","prodege",1,35748169,"USA","PA","Phoenixville","74.103.181.243","xqw1bpm1tmw4-wgsk4qf6680d",32,"N/A","2016-06-02",16,"afternoon",0.65625,10132,0.555555555555556
"7","2ogc1k57zcp8",34417263,21,"female","en","highschool",3,"yes","Thu_Jun_02_2016_17-32-13","Thu_Jun_02_2016_17-47-30","68.32.79.199","Chrome",50,"yes","They had the same format of something affecting something, something affecting something, and then the end result.","yes","Seemed to be a lot of violent or negative imagery.","yes","I think all the stories had the same structure. Like for instance, there was one actor who dug a tunnel, the tunnel led to chicken, chicken is devoured in a similar way that a farmer buys a machine, machine collects fruit, fruit is harvested.",2016-06-02 17:47:30,2016-06-02 17:32:13,15.2833333333333,"highschool",965344562,"6/2/2016 21:50:09",2007287911,"6/2/2016 21:27:53","false","prodege",1,34417263,"USA","MI","Ann Arbor","68.32.79.199","2ogc1k57zcp8-wgsk4qf6680d",15,"The text that says ""you may leave fullscreen now"" is misleading--you should just give them the exit button, otherwise they may hit esc and be booted from the study","2016-06-02",17,"afternoon",0.979166666666667,9321,0.944444444444444
"79","y69smccfjv39",234123421,24,"male","en","highschool",3,"yes","Fri_Jun_03_2016_00-01-01","Fri_Jun_03_2016_00-08-57","172.98.84.219","Chrome",50,"no",NA,"no",NA,"no",NA,2016-06-03 00:08:57,2016-06-03 00:01:01,7.93333333333333,"highschool",965344562,"6/2/2016 21:09:21",2007258386,"6/2/2016 21:00:57","false","elite",1,37918729,"USA","GA","Atlanta","172.98.84.220","y69smccfjv39-wgsk4qf6680d",26,"","2016-06-03",0,"night",0.125,3927,0.166666666666667
"10","3uxcgpu3626q",35607749,21,"male","en","highschool",3,"yes","Tue_Jun_07_2016_04-23-16","Tue_Jun_07_2016_04-37-57","173.245.75.72","Chrome",50,"no",NA,"yes","example : A relate B, B relate C","yes","Above",2016-06-07 04:37:57,2016-06-07 04:23:16,14.6833333333333,"highschool",968897076,"6/7/2016 11:38:46",2011674451,"6/7/2016 11:23:04","false","elite",1,35607749,"USA","CA","San Jose","173.245.75.72","3uxcgpu3626q-wgsk4qf6680d",8,"","2016-06-07",4,"night",0.90625,10912,0.805555555555556
