"title","names","condition","trial_type","trial_index","time_elapsed","internal_node_id","sessionCode","X","fullStat","name1","relation","timeDrag","ndrags","rel_sol","name1_sol","name2","name2_sol","statIdx","stoIdx","name1_cor","name2_cor","rel_cor","first","overall_cor","uniqueStatement"
"lawyer","Mabi,Aid,Vivaf,Soav,Zidep,Awiz","analogues","hebb",9,496962,"0.0-4.0-5.0","0p5lpvlclyr2",NA,"Lawyer Mabi finds loophole Aid.","Aid","finds",28176,3,"finds","Mabi","Mabi","Aid","1",7,FALSE,FALSE,TRUE,0,0.333333333333333,"lawyer1"
"lawyer","Mabi,Aid,Vivaf,Soav,Zidep,Awiz","analogues","hebb",9,496962,"0.0-4.0-5.0","0p5lpvlclyr2",NA,"Loophole Aid bypasses contract of union Vivaf.","Mabi","bypasses sth. of",14076,3,"bypasses sth. of","Aid","Vivaf","Vivaf","2",7,FALSE,TRUE,TRUE,0,0.666666666666667,"lawyer2"
"lawyer","Mabi,Aid,Vivaf,Soav,Zidep,Awiz","analogues","hebb",9,496962,"0.0-4.0-5.0","0p5lpvlclyr2",NA,"Union Vivaf loses a lawsuit.","Vivaf","loses sth.",7359,2,"loses sth.","Vivaf",NA,NA,"3",7,TRUE,NA,TRUE,0,1,"lawyer3"
"fox","Pide,Vipal,Turow,Uvman,Dohod,Ohuy","analogues","hebb",10,558342,"0.0-4.0-6.0","0p5lpvlclyr2",NA,"Fox Pide digs tunnel Vipal.","Pide","digs",29284,3,"digs","Pide","Vipal","Vipal","1",8,TRUE,TRUE,TRUE,0,1,"fox1"
"fox","Pide,Vipal,Turow,Uvman,Dohod,Ohuy","analogues","hebb",10,558342,"0.0-4.0-6.0","0p5lpvlclyr2",NA,"Tunnel Vipal leads to coop of chicken Turow.","Vipal","leads to sth. of",13126,3,"leads to sth. of","Vipal","Turow","Turow","2",8,TRUE,TRUE,TRUE,0,1,"fox2"
"fox","Pide,Vipal,Turow,Uvman,Dohod,Ohuy","analogues","hebb",10,558342,"0.0-4.0-6.0","0p5lpvlclyr2",NA,"Chicken Turow is devoured.","Turow","is devoured",8430,3,"is devoured","Turow",NA,NA,"3",8,TRUE,NA,TRUE,0,1,"fox3"
"pump","Hoyl,Enmob,Huluw,Ewey,Olag,Hoap","fillers","hebb",11,610045,"0.0-4.0-7.0","0p5lpvlclyr2",NA,"Plumber Hoyl installs pump Enmob.","Hoyl","installs",21375,3,"installs","Hoyl","Enmob","Enmob","1",9,TRUE,TRUE,TRUE,0,1,"pump1"
"pump","Hoyl,Enmob,Huluw,Ewey,Olag,Hoap","fillers","hebb",11,610045,"0.0-4.0-7.0","0p5lpvlclyr2",NA,"Pump Enmob sucks water from ground Huluw.","Enmob","sucks sth. from",12521,3,"sucks sth. from","Enmob","Huluw","Huluw","2",9,TRUE,TRUE,TRUE,0,1,"pump2"
"pump","Hoyl,Enmob,Huluw,Ewey,Olag,Hoap","fillers","hebb",11,610045,"0.0-4.0-7.0","0p5lpvlclyr2",NA,"Ground Huluw dries up.","Huluw","dries up",7281,2,"dries up","Huluw",NA,NA,"3",9,TRUE,NA,TRUE,0,1,"pump3"
"neighbor","Ahow,Assit,Ihab,Yoges,Ezol,Upum","fillers","hebb",12,681318,"0.0-4.0-8.0","0p5lpvlclyr2",NA,"Man Ahow takes care of cat Assit.","Ezol","takes care of",38192,3,"takes care of","Ahow","Assit","Assit","1",10,FALSE,TRUE,TRUE,0,0.666666666666667,"neighbor1"
"neighbor","Ahow,Assit,Ihab,Yoges,Ezol,Upum","fillers","hebb",12,681318,"0.0-4.0-8.0","0p5lpvlclyr2",NA,"Cat Assit walks over the flowers of neighbor Ihab","Assit","walks over sth. of",14515,3,"walks over sth. of","Assit","Ihab","Ihab","2",10,TRUE,TRUE,TRUE,0,1,"neighbor2"
"neighbor","Ahow,Assit,Ihab,Yoges,Ezol,Upum","fillers","hebb",12,681318,"0.0-4.0-8.0","0p5lpvlclyr2",NA,"Neighbor Ihab gets angry.","Ihab","gets angry",8039,2,"gets angry","Ihab",NA,NA,"3",10,TRUE,NA,TRUE,0,1,"neighbor3"
"hacker","Orok,Dugoz,Olef,Mewep,Ottha,Itbob","analogues","hebb",13,733798,"0.0-4.0-9.0","0p5lpvlclyr2",NA,"Hacker Orok writes computer code Dugoz.","Olef","writes",19343,3,"writes","Orok","Orok","Dugoz","1",11,FALSE,FALSE,TRUE,0,0.333333333333333,"hacker1"
"hacker","Orok,Dugoz,Olef,Mewep,Ottha,Itbob","analogues","hebb",13,733798,"0.0-4.0-9.0","0p5lpvlclyr2",NA,"Code Dugoz cracks the firewall of company Olef.","Orok","cracks sth. of",13440,3,"cracks sth. of","Dugoz","Olef","Olef","2",11,FALSE,TRUE,TRUE,0,0.666666666666667,"hacker2"
"hacker","Orok,Dugoz,Olef,Mewep,Ottha,Itbob","analogues","hebb",13,733798,"0.0-4.0-9.0","0p5lpvlclyr2",NA,"Company Olef suffers a data loss.","Olef","suffers sth.",9167,2,"suffers sth.","Olef",NA,NA,"3",11,TRUE,NA,TRUE,0,1,"hacker3"
"crusader","Hize,Reok,Felac,Newi,Evib,Eshbu","analogues","hebb",14,790005,"0.0-4.0-10.0","0p5lpvlclyr2",NA,"Crusader group Hize buys weapon Reok.","Hize","buys",23039,3,"buys","Hize","Reok","Reok","1",12,TRUE,TRUE,TRUE,0,1,"crusader1"
"crusader","Hize,Reok,Felac,Newi,Evib,Eshbu","analogues","hebb",14,790005,"0.0-4.0-10.0","0p5lpvlclyr2",NA,"Weapon Reok breaches the fortification of town Felac.","Reok","breaches sth. of",12566,3,"breaches sth. of","Reok","Felac","Felac","2",12,TRUE,TRUE,TRUE,0,1,"crusader2"
"crusader","Hize,Reok,Felac,Newi,Evib,Eshbu","analogues","hebb",14,790005,"0.0-4.0-10.0","0p5lpvlclyr2",NA,"Town Felac is invaded.","Felac","is invaded",10078,2,"is invaded","Felac",NA,NA,"3",12,TRUE,NA,TRUE,0,1,"crusader3"
"meteo","Fozeh,Ena,Thusoth,Thisun,Romap,Ubug","burns","hebb",16,939969,"0.0-4.0-12.0","0p5lpvlclyr2",NA,"Cloud Fozeh collects humidity over ocean Ena.","Thisun","lies above",80495,7,"collects humidity over","Fozeh","Ena","Ena","1",14,FALSE,TRUE,FALSE,0,0.333333333333333,"meteo1"
"meteo","Fozeh,Ena,Thusoth,Thisun,Romap,Ubug","burns","hebb",16,939969,"0.0-4.0-12.0","0p5lpvlclyr2",NA,"Ocean Ena lies next to the beaches of area Thusoth.","Ena","lies next to",21108,3,"lies next to","Ena","Thusoth","Thusoth","2",14,TRUE,TRUE,TRUE,0,1,"meteo2"
"meteo","Fozeh,Ena,Thusoth,Thisun,Romap,Ubug","burns","hebb",16,939969,"0.0-4.0-12.0","0p5lpvlclyr2",NA,"Area Thusoth is fertile.","Thusoth","is fertile",16332,3,"is fertile","Thusoth",NA,NA,"3",14,TRUE,NA,TRUE,0,1,"meteo3"
"mining","Yuxeh,Owmi,Uwit,Pobat,Thygef,Wehif","fillers","hebb",17,1002914,"0.0-4.0-13.0","0p5lpvlclyr2",NA,"Mining company Yuxeh has a lot of resource Owmi.","Yuxeh","has a lot of",24242,3,"has a lot of","Yuxeh","Owmi","Owmi","1",15,TRUE,TRUE,TRUE,0,1,"mining1"
"mining","Yuxeh,Owmi,Uwit,Pobat,Thygef,Wehif","fillers","hebb",17,1002914,"0.0-4.0-13.0","0p5lpvlclyr2",NA,"Resource Owmi is sparse in country Uwit.","Owmi","is sparse in",16096,3,"is sparse in","Owmi","Uwit","Uwit","2",15,TRUE,TRUE,TRUE,0,1,"mining2"
"mining","Yuxeh,Owmi,Uwit,Pobat,Thygef,Wehif","fillers","hebb",17,1002914,"0.0-4.0-13.0","0p5lpvlclyr2",NA,"Country Uwit starts negotiating.","Uwit","starts negotiating",12074,3,"starts negotiating","Uwit",NA,NA,"3",15,TRUE,NA,TRUE,0,1,"mining3"
"storm","Henu,Meuf,Pishi,Roze,Thyra,Owih","fillers","hebb",18,1058736,"0.0-4.0-14.0","0p5lpvlclyr2",NA,"Storm Henu hits tree Meuf.","Henu","hits",21423,3,"hits","Henu","Meuf","Meuf","1",16,TRUE,TRUE,TRUE,0,1,"storm1"
"storm","Henu,Meuf,Pishi,Roze,Thyra,Owih","fillers","hebb",18,1058736,"0.0-4.0-14.0","0p5lpvlclyr2",NA,"Tree Meuf falls on trail of route Pishi.","Meuf","falls on",11873,3,"falls on","Meuf","Pishi","Pishi","2",16,TRUE,TRUE,TRUE,0,1,"storm2"
"storm","Henu,Meuf,Pishi,Roze,Thyra,Owih","fillers","hebb",18,1058736,"0.0-4.0-14.0","0p5lpvlclyr2",NA,"Route Pishi is blocked.","Pishi","is blocked",12001,2,"is blocked","Pishi",NA,NA,"3",16,TRUE,NA,TRUE,0,1,"storm3"
"bacteria","Eefar,Eyem,Epnux,Upno,Eshov,Hosen","analogues","hebb",19,1123216,"0.0-4.0-15.0","0p5lpvlclyr2",NA,"Bacteria Eefar emits enzyme Eyem.","Eefar","emits",21846,3,"emits","Eefar","Eyem","Eyem","1",17,TRUE,TRUE,TRUE,0,1,"bacteria1"
"bacteria","Eefar,Eyem,Epnux,Upno,Eshov,Hosen","analogues","hebb",19,1123216,"0.0-4.0-15.0","0p5lpvlclyr2",NA,"Enzyme Eyem dissolves the membrane of organ Epnux.","Eyem","dissolves sth. of",20661,3,"dissolves sth. of","Eyem","Upno","Epnux","2",17,TRUE,FALSE,TRUE,0,0.666666666666667,"bacteria2"
"bacteria","Eefar,Eyem,Epnux,Upno,Eshov,Hosen","analogues","hebb",19,1123216,"0.0-4.0-15.0","0p5lpvlclyr2",NA,"Organ Epnux fails.","Upno","fails",11444,3,"fails","Epnux",NA,NA,"3",17,FALSE,NA,TRUE,0,0.5,"bacteria3"
"robber","Niem,Rothuk,Ofpoz,Zugew,Lyde,Thuha","analogues","hebb",20,1180444,"0.0-4.0-16.0","0p5lpvlclyr2",NA,"Criminal Niem learns about security issue Rothuk.","Niem","learns about",20733,3,"learns about","Niem","Rothuk","Rothuk","1",18,TRUE,TRUE,TRUE,0,1,"robber1"
"robber","Niem,Rothuk,Ofpoz,Zugew,Lyde,Thuha","analogues","hebb",20,1180444,"0.0-4.0-16.0","0p5lpvlclyr2",NA,"Security issue Rothuk suspends alarm system of museum Ofpoz.","Rothuk","suspends sth. of",12735,3,"suspends sth. of","Rothuk","Ofpoz","Ofpoz","2",18,TRUE,TRUE,TRUE,0,1,"robber2"
"robber","Niem,Rothuk,Ofpoz,Zugew,Lyde,Thuha","analogues","hebb",20,1180444,"0.0-4.0-16.0","0p5lpvlclyr2",NA,"Museum Ofpoz gets robbed.","Ofpoz","gets robbed",13221,2,"gets robbed","Ofpoz",NA,NA,"3",18,TRUE,NA,TRUE,0,1,"robber3"
"meteo","Dugoz,Hosen,Saly,Owmi,Kesal,Reok","burns","hebb",4,105429,"0.0-4.0-0.0","0rn21efqotza",NA,"Cloud Dugoz collects humidity over ocean Hosen.","Dugoz","collects humidity over",22349,3,"collects humidity over","Dugoz","Hosen","Hosen","1",2,TRUE,TRUE,TRUE,0,1,"meteo1"
"meteo","Dugoz,Hosen,Saly,Owmi,Kesal,Reok","burns","hebb",4,105429,"0.0-4.0-0.0","0rn21efqotza",NA,"Ocean Hosen lies next to the beaches of area Saly.","Hosen","lies next to",16840,3,"lies next to","Hosen","Saly","Saly","2",2,TRUE,TRUE,TRUE,0,1,"meteo2"
"meteo","Dugoz,Hosen,Saly,Owmi,Kesal,Reok","burns","hebb",4,105429,"0.0-4.0-0.0","0rn21efqotza",NA,"Area Saly is fertile.","Saly","is fertile",19135,2,"is fertile","Saly",NA,NA,"3",2,TRUE,NA,TRUE,0,1,"meteo3"
"fish","Thisun,Thusoth,Olag,Inag,Hadith,Molash","burns","hebb",5,176724,"0.0-4.0-1.0","0rn21efqotza",NA,"Fisher Thisun cultivates sea grass Thusoth.","Thisun","cultivates",28821,4,"cultivates","Thisun","Thusoth","Thusoth","1",3,TRUE,TRUE,TRUE,0,1,"fish1"
"fish","Thisun,Thusoth,Olag,Inag,Hadith,Molash","burns","hebb",5,176724,"0.0-4.0-1.0","0rn21efqotza",NA,"Sea grass Thusoth is eaten by fish Olag.","Thusoth","is eaten by",17241,3,"is eaten by","Thusoth","Olag","Olag","2",3,TRUE,TRUE,TRUE,0,1,"fish2"
"fish","Thisun,Thusoth,Olag,Inag,Hadith,Molash","burns","hebb",5,176724,"0.0-4.0-1.0","0rn21efqotza",NA,"Fish Olag is captured.","Olag","is captured",14700,2,"is captured","Olag",NA,NA,"3",3,TRUE,NA,TRUE,0,1,"fish3"
"insect","Yuxeh,Puvi,Yoges,Mabi,Mewep,Vilux","burns","hebb",6,242263,"0.0-4.0-2.0","0rn21efqotza",NA,"Perfume Yuxeh attracts insect Puvi.","Yuxeh","attracts",22000,3,"attracts","Yuxeh","Puvi","Puvi","1",4,TRUE,TRUE,TRUE,0,1,"insect1"
"insect","Yuxeh,Puvi,Yoges,Mabi,Mewep,Vilux","burns","hebb",6,242263,"0.0-4.0-2.0","0rn21efqotza",NA,"Insect Puvi attacks woman Yoges.","Puvi","attracts",16799,3,"attacks","Puvi","Yoges","Yoges","2",4,TRUE,TRUE,FALSE,0,0.666666666666667,"insect2"
"insect","Yuxeh,Puvi,Yoges,Mabi,Mewep,Vilux","burns","hebb",6,242263,"0.0-4.0-2.0","0rn21efqotza",NA,"Woman Yoges has an allergic reaction.","Yoges","has an allergic reaction",16231,2,"has an allergic reaction","Yoges",NA,NA,"3",4,TRUE,NA,TRUE,0,1,"insect3"
"hacker","Uhuy,Dohod,Titho,Misug,Rothuk,Owih","analogues","hebb",7,311059,"0.0-4.0-3.0","0rn21efqotza",NA,"Hacker Uhuy writes computer code Dohod.","Uhuy","writes",22326,3,"writes","Uhuy","Dohod","Dohod","1",5,TRUE,TRUE,TRUE,0,1,"hacker1"
"hacker","Uhuy,Dohod,Titho,Misug,Rothuk,Owih","analogues","hebb",7,311059,"0.0-4.0-3.0","0rn21efqotza",NA,"Code Dohod cracks the firewall of company Titho.","Dohod","cracks sth. of",16191,3,"cracks sth. of","Dohod","Titho","Titho","2",5,TRUE,TRUE,TRUE,0,1,"hacker2"
"hacker","Uhuy,Dohod,Titho,Misug,Rothuk,Owih","analogues","hebb",7,311059,"0.0-4.0-3.0","0rn21efqotza",NA,"Company Titho suffers a data loss.","Titho","suffers sth.",19740,2,"suffers sth.","Titho",NA,NA,"3",5,TRUE,NA,TRUE,0,1,"hacker3"
"bacteria","Epnux,Eyem,Huluw,Ribi,Assit,Diaf","analogues","hebb",8,377471,"0.0-4.0-4.0","0rn21efqotza",NA,"Bacteria Epnux emits enzyme Eyem.","Epnux","emits",21558,3,"emits","Epnux","Eyem","Eyem","1",6,TRUE,TRUE,TRUE,0,1,"bacteria1"
"bacteria","Epnux,Eyem,Huluw,Ribi,Assit,Diaf","analogues","hebb",8,377471,"0.0-4.0-4.0","0rn21efqotza",NA,"Enzyme Eyem dissolves the membrane of organ Huluw.","Eyem","dissolves sth. of",18270,3,"dissolves sth. of","Eyem","Huluw","Huluw","2",6,TRUE,TRUE,TRUE,0,1,"bacteria2"
"bacteria","Epnux,Eyem,Huluw,Ribi,Assit,Diaf","analogues","hebb",8,377471,"0.0-4.0-4.0","0rn21efqotza",NA,"Organ Huluw fails.","Huluw","fails",16079,2,"fails","Huluw",NA,NA,"3",6,TRUE,NA,TRUE,0,1,"bacteria3"
"pump","Eshbu,Vuloz,Rove,Hoyl,Lothe,Ihab","fillers","hebb",9,446656,"0.0-4.0-5.0","0rn21efqotza",NA,"Plumber Eshbu installs pump Vuloz.","Eshbu","installs",22068,3,"installs","Eshbu","Vuloz","Vuloz","1",7,TRUE,TRUE,TRUE,0,1,"pump1"
"pump","Eshbu,Vuloz,Rove,Hoyl,Lothe,Ihab","fillers","hebb",9,446656,"0.0-4.0-5.0","0rn21efqotza",NA,"Pump Vuloz sucks water from ground Rove.","Vuloz","sucks sth. from",22160,3,"sucks sth. from","Vuloz","Rove","Rove","2",7,TRUE,TRUE,TRUE,0,1,"pump2"
"pump","Eshbu,Vuloz,Rove,Hoyl,Lothe,Ihab","fillers","hebb",9,446656,"0.0-4.0-5.0","0rn21efqotza",NA,"Ground Rove dries up.","Rove","dries up",14447,2,"dries up","Rove",NA,NA,"3",7,TRUE,NA,TRUE,0,1,"pump3"
"storm","Thuha,Niem,Upel,Olef,Ofes,Eefar","fillers","hebb",10,513252,"0.0-4.0-6.0","0rn21efqotza",NA,"Storm Thuha hits tree Niem.","Thuha","hits",17740,3,"hits","Thuha","Niem","Niem","1",8,TRUE,TRUE,TRUE,0,1,"storm1"
"storm","Thuha,Niem,Upel,Olef,Ofes,Eefar","fillers","hebb",10,513252,"0.0-4.0-6.0","0rn21efqotza",NA,"Tree Niem falls on trail of route Upel.","Niem","falls on",25580,3,"falls on","Niem","Upel","Upel","2",8,TRUE,TRUE,TRUE,0,1,"storm2"
"storm","Thuha,Niem,Upel,Olef,Ofes,Eefar","fillers","hebb",10,513252,"0.0-4.0-6.0","0rn21efqotza",NA,"Route Upel is blocked.","Upel","is blocked",12730,2,"is blocked","Upel",NA,NA,"3",8,TRUE,NA,TRUE,0,1,"storm3"
"robber","Zugew,Goxos,Ebib,Ahow,Zimob,Ottha","analogues","hebb",11,580872,"0.0-4.0-7.0","0rn21efqotza",NA,"Criminal Zugew learns about security issue Goxos.","Zimob","learns about",20041,3,"learns about","Zugew","Goxos","Goxos","1",9,FALSE,TRUE,TRUE,0,0.666666666666667,"robber1"
"robber","Zugew,Goxos,Ebib,Ahow,Zimob,Ottha","analogues","hebb",11,580872,"0.0-4.0-7.0","0rn21efqotza",NA,"Security issue Goxos suspends alarm system of museum Ebib.","Goxos","suspends sth. of",21900,3,"suspends sth. of","Goxos","Ebib","Ebib","2",9,TRUE,TRUE,TRUE,0,1,"robber2"
"robber","Zugew,Goxos,Ebib,Ahow,Zimob,Ottha","analogues","hebb",11,580872,"0.0-4.0-7.0","0rn21efqotza",NA,"Museum Ebib gets robbed.","Ebib","gets robbed",15140,2,"gets robbed","Ebib",NA,NA,"3",9,TRUE,NA,TRUE,0,1,"robber3"
"crusader","Henu,Mawi,Lenik,Afi,Hoap,Kawud","analogues","hebb",12,635679,"0.0-4.0-8.0","0rn21efqotza",NA,"Crusader group Henu buys weapon Mawi.","Henu","buys",17030,3,"buys","Henu","Mawi","Mawi","1",10,TRUE,TRUE,TRUE,0,1,"crusader1"
"crusader","Henu,Mawi,Lenik,Afi,Hoap,Kawud","analogues","hebb",12,635679,"0.0-4.0-8.0","0rn21efqotza",NA,"Weapon Mawi breaches the fortification of town Lenik.","Mawi","breaches sth. of",13033,3,"breaches sth. of","Mawi","Lenik","Lenik","2",10,TRUE,TRUE,TRUE,0,1,"crusader2"
"crusader","Henu,Mawi,Lenik,Afi,Hoap,Kawud","analogues","hebb",12,635679,"0.0-4.0-8.0","0rn21efqotza",NA,"Town Lenik is invaded.","Lenik","is invaded",14229,2,"is invaded","Lenik",NA,NA,"3",10,TRUE,NA,TRUE,0,1,"crusader3"
"neighbor","Newi,Thygef,Pobat,Awiz,Thyra,Orok","fillers","hebb",13,696996,"0.0-4.0-9.0","0rn21efqotza",NA,"Man Newi takes care of cat Thygef.","Newi","takes care of",27641,5,"takes care of","Newi","Thygef","Thygef","1",11,TRUE,TRUE,TRUE,0,1,"neighbor1"
"neighbor","Newi,Thygef,Pobat,Awiz,Thyra,Orok","fillers","hebb",13,696996,"0.0-4.0-9.0","0rn21efqotza",NA,"Cat Thygef walks over the flowers of neighbor Pobat","Thygef","walks over sth. of",9207,3,"walks over sth. of","Thygef","Pobat","Pobat","2",11,TRUE,TRUE,TRUE,0,1,"neighbor2"
"neighbor","Newi,Thygef,Pobat,Awiz,Thyra,Orok","fillers","hebb",13,696996,"0.0-4.0-9.0","0rn21efqotza",NA,"Neighbor Pobat gets angry.","Pobat","gets angry",13948,2,"gets angry","Pobat",NA,NA,"3",11,TRUE,NA,TRUE,0,1,"neighbor3"
"mining","Gelyp,Enmob,Zishu,Zidep,Lyde,Gena","fillers","hebb",14,816637,"0.0-4.0-10.0","0rn21efqotza",NA,"Mining company Gelyp has a lot of resource Enmob.","Gelyp","has a lot of",27949,3,"has a lot of","Gelyp","Enmob","Enmob","1",12,TRUE,TRUE,TRUE,0,1,"mining1"
"mining","Gelyp,Enmob,Zishu,Zidep,Lyde,Gena","fillers","hebb",14,816637,"0.0-4.0-10.0","0rn21efqotza",NA,"Resource Enmob is sparse in country Zishu.","Enmob","is sparse in",14350,3,"is sparse in","Enmob","Zishu","Zishu","2",12,TRUE,TRUE,TRUE,0,1,"mining2"
"mining","Gelyp,Enmob,Zishu,Zidep,Lyde,Gena","fillers","hebb",14,816637,"0.0-4.0-10.0","0rn21efqotza",NA,"Country Zishu starts negotiating.","Zishu","starts negotiating",66799,2,"starts negotiating","Zishu",NA,NA,"3",12,TRUE,NA,TRUE,0,1,"mining3"
"school","Ubug,Meuf,Eshov,Itbob,Hize,Matmag","burns","hebb",16,914008,"0.0-4.0-12.0","0rn21efqotza",NA,"School girl Ubug beats boy Meuf.","Ubug","beats",19502,3,"beats","Ubug","Meuf","Meuf","1",14,TRUE,TRUE,TRUE,0,1,"school1"
"school","Ubug,Meuf,Eshov,Itbob,Hize,Matmag","burns","hebb",16,914008,"0.0-4.0-12.0","0rn21efqotza",NA,"Boy Meuf reports to teacher Eshov.","Meuf","reports to",19089,3,"reports to","Meuf","Eshov","Eshov","2",14,TRUE,TRUE,TRUE,0,1,"school2"
"school","Ubug,Meuf,Eshov,Itbob,Hize,Matmag","burns","hebb",16,914008,"0.0-4.0-12.0","0rn21efqotza",NA,"Teacher Eshov calls parents.","Eshov","calls parents",17291,2,"calls parents","Eshov",NA,NA,"3",14,TRUE,NA,TRUE,0,1,"school3"
"lawyer","Vipal,Ohan,Ofpoz,Pide,Pishi,Evib","analogues","hebb",17,976190,"0.0-4.0-13.0","0rn21efqotza",NA,"Lawyer Vipal finds loophole Ohan.","Vipal","finds",20793,3,"finds","Vipal","Ohan","Ohan","1",15,TRUE,TRUE,TRUE,0,1,"lawyer1"
"lawyer","Vipal,Ohan,Ofpoz,Pide,Pishi,Evib","analogues","hebb",17,976190,"0.0-4.0-13.0","0rn21efqotza",NA,"Loophole Ohan bypasses contract of union Ofpoz.","Ohan","bypasses sth. of",12909,3,"bypasses sth. of","Ohan","Ofpoz","Ofpoz","2",15,TRUE,TRUE,TRUE,0,1,"lawyer2"
"lawyer","Vipal,Ohan,Ofpoz,Pide,Pishi,Evib","analogues","hebb",17,976190,"0.0-4.0-13.0","0rn21efqotza",NA,"Union Ofpoz loses a lawsuit.","Ofpoz","loses sth.",17971,2,"loses sth.","Ofpoz",NA,NA,"3",15,TRUE,NA,TRUE,0,1,"lawyer3"
