"","sessionCode","age","gender","language","qualification","effort","sincerity","sessionStart","sessionEnd","ipAddress","browserName","browserVersion","similarityClosed","similarityOpen","repetitionClosed","repetitionOpen","analogyClosed","analogyOpen","sessionEndTs","sessionStartTs","sessionDuration","quali","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","NFC","FI","unit_id","created_at","id","started_at","tainted","channel","trust","worker_id","country","region","city","ip","conf_code","contributor_id","feedback","trick_rel_cor","trick_name_cor","trick_total_cor","date","hour","dayblock","overall_cor","timeReading","timeDrag","timeReadingMedian"
"14","4g0h1m1nmvoq",36,"female","en","university",2,"yes","Tue_May_03_2016_07-30-14","Tue_May_03_2016_07-45-51","127.4.234.129","Chrome",50,"yes","they were all structured as person A does something to person B who does somthing to person C and as a result person C has a reaction","no",NA,"yes","I didn't notice that it was every 2nd story but I noticed that some had a cause and effect struture (person trained by spy agency, other country hires that person and then loses secrets",2016-05-03 07:45:51,2016-05-03 07:30:14,15.6166666666667,"university",2,2,1,1,3,3,2,2,2,2,7,14,943925037,"5/3/2016 11:52:33",1974941285,"5/3/2016 11:30:05","false","prodege",1,11998178,"USA","MD","Baltimore","50.153.253.135","4g0h1m1nmvoq-57xo5ftqu4vr",11998178,"I found the structure of ""loses something vs wins something"" to be a bit weird (I kind of assumed going in to the study that the actions would take the form loses X, loses Y, loses Z and spent more mental energy trying to remember the specifics than I should have.

it was easier when I simplified things mentally into name does action to name does action to name result, but like it took me way too long to learn it.

I didn't write anything down, but I did vocalize the simplification while I read each sentence (because otherwise I forgot from screen to screen).",TRUE,TRUE,TRUE,"2016-05-03",7,"morning",0.705357142857143,3636,10915.5,3759.5
"15","4ooppl6176ym",28,"male","en","highschool",3,"yes","Fri_Apr_29_2016_11-45-47","Fri_Apr_29_2016_12-13-34","127.4.234.129","Firefox",45,"no",NA,"no",NA,"no",NA,2016-04-29 12:13:34,2016-04-29 11:45:47,27.7833333333333,"highschool",0,0,1,1,3,1,2,2,2,0,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,"2016-04-29",11,"morning",0.928571428571429,6371,20174.5,7595
"16","4rf4j3c300qq",35,"female","en","university",3,"yes","Fri_May_13_2016_10-28-29","Fri_May_13_2016_10-57-48","76.1.162.251","Chrome",50,"no",NA,"no",NA,"no",NA,2016-05-13 10:57:48,2016-05-13 10:28:29,29.3166666666667,"university",3,2,2,2,2,2,3,1,2,1,9,11,952207996,"5/13/2016 14:58:12",1985185528,"5/13/2016 14:57:53","false","elite",1,36350388,"USA","FL","Lehigh Acres","76.1.162.251","4rf4j3c300qq-wgsk4qf6680d",36,"",TRUE,TRUE,TRUE,"2016-05-13",10,"morning",0.901785714285714,10311.5,17877.5,10973
"17","58elrqfxuwef",47,"female","en","university",2,"yes","Tue_May_03_2016_08-39-53","Tue_May_03_2016_09-06-38","127.4.234.129","Chrome",50,"no",NA,"no",NA,"no",NA,2016-05-03 09:06:38,2016-05-03 08:39:53,26.75,"university",0,1,3,3,1,2,2,0,2,1,16,8,943925037,"5/3/2016 13:07:14",1974981023,"5/3/2016 12:39:44","false","prodege",1,1890003,"USA","NY","New York","100.2.102.136","58elrqfxuwef-57xo5ftqu4vr",1890003,"",TRUE,TRUE,TRUE,"2016-05-03",8,"morning",0.741071428571429,8598,17532.5,8884.5
"18","5hobvz8s4tnx",24,"female","en","university",3,"yes","Fri_May_13_2016_13-21-29","Fri_May_13_2016_13-41-36","162.239.118.101","Chrome",50,"no",NA,"no",NA,"no",NA,2016-05-13 13:41:36,2016-05-13 13:21:29,20.1166666666667,"university",2,1,1,1,2,1,2,2,1,2,9,10,952207996,"5/13/2016 18:43:00",1985345060,"5/13/2016 18:20:58","false","cotter",1,33996915,"USA","OK","Sand Springs","162.239.118.101","5hobvz8s4tnx-wgsk4qf6680d",29,"",TRUE,TRUE,TRUE,"2016-05-13",13,"afternoon",0.991071428571429,7840.5,13209,8198
"19","5lgdkqeokbgt",44,"female","en","highschool",3,"yes","Mon_Apr_25_2016_08-03-26","Mon_Apr_25_2016_08-27-09","127.4.234.129","Chrome",49,"yes","That the names in the first sentence carried over to the second one","no",NA,"no",NA,2016-04-25 08:27:09,2016-04-25 08:03:26,23.7166666666667,"highschool",1,1,3,3,1,3,3,3,4,2,15,16,939944841,"4/25/2016 12:28:45",1968436004,"4/25/2016 12:01:54","false","prodege",1,12009597,"USA","VA","Martinsville","67.174.76.148","5lgdkqeokbgt-57xo5ftqu4vr",12009597,NA,TRUE,TRUE,TRUE,"2016-04-25",8,"morning",0.616071428571429,6276,15299.5,6520.5
"20","69yapaukgnf0",25,"male","en","highschool",2,"yes","Tue_May_03_2016_08-52-10","Tue_May_03_2016_09-12-42","127.4.234.129","Chrome",49,"no",NA,"no",NA,"no",NA,2016-05-03 09:12:42,2016-05-03 08:52:10,20.5333333333333,"highschool",2,3,3,4,2,3,2,3,2,2,12,14,943925037,"5/3/2016 13:13:14",1974983798,"5/3/2016 12:51:12","false","clixsense",1,37315879,"USA","TX","Plano","129.192.176.68","69yapaukgnf0-57xo5ftqu4vr",37315879,"",TRUE,TRUE,TRUE,"2016-05-03",8,"morning",0.830357142857143,6613.5,11215.5,7686
"22","6j2uxnmcnm1j",65,"male","en","university",3,"yes","Fri_Apr_29_2016_12-07-10","Fri_Apr_29_2016_12-35-01","127.4.234.129","Chrome",49,"yes","SITUATIONS LEADING TO SITUATIONS AND EVOLVING","yes","ONE LEADING TO ANOTHER EVENT","no",NA,2016-04-29 12:35:01,2016-04-29 12:07:10,27.85,"university",1,3,3,3,1,3,2,2,3,2,13,13,943076293,"4/29/2016 16:39:00",1972023617,"4/29/2016 16:34:52","false","clixsense",1,24170547,"USA","NJ","Haddonfield","71.168.197.179","6j2uxnmcnm1j-57xo5ftqu4vr",24170547,"THANK YOU--HAS ALL EVENTS IN MY MIND----then the names--some close--uh,,,--uy,,--so close confused me.The sequences of the events were logical--almost all of them--and straight forward--and to logical consequences--but the names ended up confounding me--THANK YOU ENJOYABLE TASK--THOUGHT I SHOULD HAVE DONE BETTER...",TRUE,TRUE,TRUE,"2016-04-29",12,"afternoon",0.491071428571429,3219,25546.5,3702
"23","6x4zwgahdwkj",28,"male","en","university",3,"yes","Fri_Apr_29_2016_12-37-10","Fri_Apr_29_2016_13-00-40","127.4.234.129","Chrome",49,"no",NA,"no",NA,"no",NA,2016-04-29 13:00:40,2016-04-29 12:37:10,23.5,"university",2,1,1,1,3,3,2,2,3,2,8,15,943076293,"4/29/2016 17:33:18",1972069974,"4/29/2016 17:04:49","false","neodev",1,36858304,"USA","CA","Saratoga","45.33.133.152","6x4zwgahdwkj-57xo5ftqu4vr",36858304,"This was an awesome survey.",TRUE,TRUE,TRUE,"2016-04-29",12,"afternoon",0.883928571428571,14596,11762,15123.5
"24","7bhyg1q65hfn",40,"male","en","university",3,"yes","Fri_May_13_2016_17-47-29","Fri_May_13_2016_18-04-23","209.93.35.141","Firefox",46,"no",NA,"no",NA,"no",NA,2016-05-13 18:04:23,2016-05-13 17:47:29,16.9,"university",0,0,3,4,1,3,3,3,3,3,18,16,952207996,"5/13/2016 17:04:40",1985287307,"5/13/2016 16:46:29","false","instagc",1,28301350,"USA","CA","El Segundo","209.93.35.141","7bhyg1q65hfn-wgsk4qf6680d",14,"",TRUE,TRUE,TRUE,"2016-05-13",17,"afternoon",0.9375,6679.5,11091.5,6954.5
"25","7kp77wnnuqn9",37,"female","en","highschool",3,"yes","Fri_May_13_2016_11-19-21","Fri_May_13_2016_11-32-55","107.204.185.88","Firefox",46,"no",NA,"no",NA,"no",NA,2016-05-13 11:32:55,2016-05-13 11:19:21,13.5666666666667,"highschool",1,1,3,2,1,4,3,3,3,3,14,17,952207996,"5/13/2016 16:33:10",1985260933,"5/13/2016 16:18:15","false","prodege",1,9559045,"USA","TX","Katy","107.204.185.88","7kp77wnnuqn9-wgsk4qf6680d",49,"",TRUE,TRUE,TRUE,"2016-05-13",11,"morning",0.419642857142857,2083.5,9785,2365
"26","81kwlhs3m9ly",45,"male","en","doctoral",3,"yes","Fri_May_13_2016_11-41-11","Fri_May_13_2016_11-59-41","72.240.210.33","Chrome",49,"no",NA,"no",NA,"no",NA,2016-05-13 11:59:41,2016-05-13 11:41:11,18.5,"doctoral",1,1,3,2,1,3,3,3,2,4,14,16,952207996,"5/13/2016 16:01:05",1985241874,"5/13/2016 15:40:40","false","fusioncash",1,33519460,"USA","OH","Sandusky","72.240.210.33","81kwlhs3m9ly-wgsk4qf6680d",24,"Very interesting format; it was quite difficult to keep some of the patterns straight in my head.",TRUE,TRUE,TRUE,"2016-05-13",11,"morning",0.910714285714286,5909.5,11609.5,6431
"27","8efkk2n4v4rq",30,"female","en","university",1,"yes","Fri_Apr_29_2016_12-13-18","Fri_Apr_29_2016_12-40-33","127.4.234.129","Chrome",49,"no",NA,"no",NA,"no",NA,2016-04-29 12:40:33,2016-04-29 12:13:18,27.25,"university",0,1,2,0,3,2,3,4,3,2,10,17,943076293,"4/29/2016 17:11:19",1972056224,"4/29/2016 16:43:34","false","gifthunterclub",1,34737109,"USA","AL","Birmingham","45.33.155.4","8efkk2n4v4rq-57xo5ftqu4vr",34737109,"it was hard",TRUE,TRUE,TRUE,"2016-04-29",12,"afternoon",0.526785714285714,6489.5,12876.5,6629
"29","8l2d0su1c8tg",58,"male","en","university",3,"yes","Fri_May_13_2016_10-44-10","Fri_May_13_2016_11-10-48","73.146.49.152","Chrome",46,"yes","The logic sequence was always the same.","no",NA,"no",NA,2016-05-13 11:10:48,2016-05-13 10:44:10,26.6333333333333,"university",0,0,1,3,0,2,3,2,3,3,16,13,952207996,"5/13/2016 15:11:04",1985197034,"5/13/2016 14:43:26","false","zoombucks",1,9383666,"USA","IN","Noblesville","73.146.49.152","8l2d0su1c8tg-wgsk4qf6680d",48,"",TRUE,TRUE,TRUE,"2016-05-13",10,"morning",0.982142857142857,11255.5,16533,12024
"31","932j2nbsygpa",37,"female","en","university",3,"yes","Fri_May_13_2016_12-08-14","Fri_May_13_2016_12-25-54","76.232.182.5","Safari",9,"yes","The stories followed a pattern and shared similar names","no",NA,"no",NA,2016-05-13 12:25:54,2016-05-13 12:08:14,17.6666666666667,"university",1,1,3,2,2,3,3,3,3,3,13,17,952207996,"5/13/2016 19:29:02",1985371723,"5/13/2016 19:08:01","false","clixsense",1,20512953,"USA","CA","Fairfield","76.232.182.5","932j2nbsygpa-wgsk4qf6680d",10,"",TRUE,TRUE,TRUE,"2016-05-13",12,"afternoon",0.866071428571429,4359.5,12358,4893
"32","9aptdlvayywj",30,"male","en","university",3,"yes","Tue_May_03_2016_08-34-20","Tue_May_03_2016_08-48-04","127.4.234.129","Chrome",50,"no",NA,"no",NA,"no",NA,2016-05-03 08:48:04,2016-05-03 08:34:20,13.7333333333333,"university",1,1,3,1,2,3,2,3,3,3,12,16,943925037,"5/3/2016 12:48:33",1974971140,"5/3/2016 12:28:45","false","instagc",1,21017840,"USA","DE","Newark","128.4.76.53","9aptdlvayywj-57xo5ftqu4vr",21017840,"",TRUE,TRUE,TRUE,"2016-05-03",8,"morning",0.776785714285714,2710.5,11525,2880
"34","9y0flpgan7gn",62,"male","en","university",3,"yes","Fri_May_13_2016_12-17-30","Fri_May_13_2016_12-37-22","12.168.136.2","Chrome",50,"yes","similar names making it difficult to differentiate","yes","names and situations","no",NA,2016-05-13 12:37:22,2016-05-13 12:17:30,19.8666666666667,"university",1,2,3,3,1,2,3,2,3,3,14,14,952207996,"5/13/2016 16:38:00",1985263540,"5/13/2016 16:16:52","false","clixsense",1,24329110,"USA","FL","Tampa","12.168.136.2","9y0flpgan7gn-wgsk4qf6680d",11,"",TRUE,TRUE,TRUE,"2016-05-13",12,"afternoon",0.705357142857143,5445,14666.5,5949
"36","a5nw8gmq97yg",37,"female","en","university",3,"yes","Fri_Apr_29_2016_12-24-40","Fri_Apr_29_2016_12-43-28","127.4.234.129","Chrome",49,"no",NA,"yes","just the format of 3 sentences with unknown words following simple actions","no",NA,2016-04-29 12:43:28,2016-04-29 12:24:40,18.8,"university",2,1,2,2,2,3,3,2,3,3,11,16,943076293,"4/29/2016 16:43:42",1972026915,"4/29/2016 16:24:09","false","prodege",1,18785646,"USA","NY","Rochester","128.151.32.169","a5nw8gmq97yg-57xo5ftqu4vr",18785646,"",TRUE,TRUE,TRUE,"2016-04-29",12,"afternoon",0.848214285714286,8309.5,9752.5,9140
"39","ao297gks1g17",39,"female","en","doctoral",3,"yes","Fri_May_13_2016_10-21-37","Fri_May_13_2016_10-38-37","71.55.62.18","Firefox",46,"yes","Nonsense words","yes","related words","yes","cause and effect",2016-05-13 10:38:37,2016-05-13 10:21:37,17,"doctoral",3,3,1,1,3,3,3,3,3,2,5,17,952207996,"5/13/2016 14:38:50",1985167848,"5/13/2016 14:21:09","false","prodege",1,6579519,"USA","OH","Mansfield","71.55.62.18","ao297gks1g17-wgsk4qf6680d",46,"",TRUE,TRUE,TRUE,"2016-05-13",10,"morning",0.758928571428571,8703.5,10479,9063.5
"40","b68gvrakrjbg",38,"female","en","highschool",2,"yes","Fri_May_13_2016_14-19-16","Fri_May_13_2016_14-47-36","104.2.39.114","Firefox",46,"yes","that the proper nouns were gibberish words","yes","it just followed the same pattern","no",NA,2016-05-13 14:47:36,2016-05-13 14:19:16,28.3333333333333,"highschool",0,0,4,4,0,4,4,4,4,4,20,20,952207996,"5/13/2016 18:49:27",1985348869,"5/13/2016 18:48:58","false","instagc",1,25501853,"USA","KY","Winchester","104.2.39.114","b68gvrakrjbg-wgsk4qf6680d",13,"",TRUE,TRUE,TRUE,"2016-05-13",14,"afternoon",0.589285714285714,3159.5,15946.5,4573
"41","bf4q10lx1p9b",43,"male","en","university",2,"yes","Fri_Apr_29_2016_12-08-55","Fri_Apr_29_2016_12-29-09","127.4.234.129","Chrome",49,"no",NA,"no",NA,"no",NA,2016-04-29 12:29:09,2016-04-29 12:08:55,20.2333333333333,"university",2,3,2,1,2,3,2,2,3,2,8,14,943076293,"4/29/2016 16:29:15",1972018253,"4/29/2016 16:08:27","false","prodege",1,2034278,"USA","NJ","Toms River","47.21.152.62","bf4q10lx1p9b-57xo5ftqu4vr",2034278,"",TRUE,TRUE,TRUE,"2016-04-29",12,"afternoon",0.732142857142857,11224.5,11166.5,11273
"42","bvxhxsr8l6e4",37,"male","en","university",3,"yes","Fri_May_13_2016_16-17-44","Fri_May_13_2016_16-44-49","104.138.78.183","Chrome",52,"yes","The similar sentence structure.","no",NA,"yes","The fox digs the tunnel to the chicken and the chicken is eaten.
The person finds the loophole to the union's lawsuit and the union loses.",2016-05-13 16:44:49,2016-05-13 16:17:44,27.0833333333333,"university",1,1,3,2,1,2,1,0,0,2,14,6,952207996,"5/13/2016 20:45:33",1985424780,"5/13/2016 20:16:56","false","elite",1,30898464,"USA","SC","Myrtle Beach","104.138.78.183","bvxhxsr8l6e4-wgsk4qf6680d",17,"",TRUE,TRUE,TRUE,"2016-05-13",16,"afternoon",0.901785714285714,7955,17681,8593
"43","d4fnrau4o44c",36,"female","en","university",2,"yes","Fri_Apr_22_2016_12-34-35","Fri_Apr_22_2016_13-18-21","127.4.234.129","Chrome",49,"yes","The names of the characters","no",NA,"no",NA,2016-04-22 13:18:21,2016-04-22 12:34:35,43.7666666666667,"university",1,1,3,3,1,2,2,2,2,2,15,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,"2016-04-22",12,"afternoon",1,9351.5,23767.5,9445
"44","dn2vc1xbupw3",38,"female","en","highschool",2,"yes","Tue_May_03_2016_09-10-18","Tue_May_03_2016_09-30-48","127.4.234.129","Firefox",46,"yes","that the nouns were made up words","no",NA,"no",NA,2016-05-03 09:30:48,2016-05-03 09:10:18,20.5,"highschool",2,1,3,2,3,3,4,3,4,4,11,21,943925037,"5/3/2016 13:31:11",1974994309,"5/3/2016 13:09:59","false","instagc",1,25501853,"USA","KY","Winchester","104.2.39.114","dn2vc1xbupw3-57xo5ftqu4vr",25501853,"no",TRUE,TRUE,TRUE,"2016-05-03",9,"morning",0.669642857142857,3344.5,16551,3508
"45","eo5thyhhn4kj",28,"male","en","highschool",3,"yes","Fri_May_13_2016_12-44-20","Fri_May_13_2016_13-11-30","186.95.175.141","Firefox",46,"no",NA,"no",NA,"no",NA,2016-05-13 13:11:30,2016-05-13 12:44:20,27.1666666666667,"highschool",1,0,4,3,4,2,3,1,2,2,14,14,952207996,"5/13/2016 17:42:15",1985311997,"5/13/2016 17:41:46","false","elite",1,31424895,"USA","CA","San Jose","64.103.27.184","eo5thyhhn4kj-wgsk4qf6680d",19,"",TRUE,TRUE,TRUE,"2016-05-13",12,"afternoon",0.839285714285714,5416.5,15803.5,6278
"46","ez6yeqj2oe9o",32,"male","en","highschool",3,"yes","Fri_Apr_29_2016_12-29-51","Fri_Apr_29_2016_12-59-22","127.4.234.129","Chrome",49,"no",NA,"yes","Some of the names repeated","no",NA,2016-04-29 12:59:22,2016-04-29 12:29:51,29.5166666666667,"highschool",2,2,2,2,2,2,2,1,2,1,10,10,943076293,"4/29/2016 17:10:31",1972055192,"4/29/2016 16:59:32","false","neodev",1,20043657,"USA","PA","Emmaus","70.15.32.175","ez6yeqj2oe9o-57xo5ftqu4vr",20043657,"",TRUE,TRUE,TRUE,"2016-04-29",12,"afternoon",0.9375,3970,7571,4226
"47","f9ou9bt4pvm7",33,"male","en","highschool",2,"yes","Fri_May_13_2016_14-23-42","Fri_May_13_2016_14-46-17","73.30.17.239","Firefox",46,"no",NA,"no",NA,"no",NA,2016-05-13 14:46:17,2016-05-13 14:23:42,22.5833333333333,"highschool",3,3,2,1,1,2,1,2,1,1,8,8,952207996,"5/13/2016 18:46:20",1985346737,"5/13/2016 18:23:15","false","prodege",1,16762164,"USA","PA","Lansdowne","73.30.17.239","f9ou9bt4pvm7-wgsk4qf6680d",6,"",TRUE,TRUE,TRUE,"2016-05-13",14,"afternoon",0.758928571428571,6672,14031.5,7585
"48","fatqcszdycbe",30,"male","en","university",3,"yes","Fri_Apr_29_2016_10-09-15","Fri_Apr_29_2016_10-26-25","127.4.234.129","Firefox",45,"yes",NA,"no",NA,"no",NA,2016-04-29 10:26:25,2016-04-29 10:09:15,17.1666666666667,"university",1,2,3,3,2,2,2,2,3,1,13,12,943076293,"4/29/2016 16:27:04",1972017211,"4/29/2016 16:09:01","false","elite",1,36624282,"USA","NY","Rochester","104.171.124.121","fatqcszdycbe-57xo5ftqu4vr",36624282,"",TRUE,TRUE,TRUE,"2016-04-29",10,"morning",0.526785714285714,1240,15559,1303
"50","fyznrdexybp9",30,"female","en","highschool",3,"yes","Tue_May_03_2016_08-01-01","Tue_May_03_2016_08-11-46","127.4.234.129","Chrome",49,"yes","all of the names were unrecognizable","yes","names were nonsense","no",NA,2016-05-03 08:11:46,2016-05-03 08:01:01,10.75,"highschool",0,0,4,4,0,2,3,2,3,4,20,14,943925037,"5/3/2016 13:11:16",1974982759,"5/3/2016 13:00:07","false","instagc",1,18132201,"USA","TN","Paris","24.183.215.194","fyznrdexybp9-57xo5ftqu4vr",0,"",TRUE,TRUE,TRUE,"2016-05-03",8,"morning",0.4375,1073.5,7425,1295
"51","gc7wbs06sd24",27,"female","en","university",3,"yes","Mon_Apr_25_2016_07-51-12","Mon_Apr_25_2016_08-09-22","127.4.234.129","Chrome",50,"no",NA,"no",NA,"no",NA,2016-04-25 08:09:22,2016-04-25 07:51:12,18.1666666666667,"university",1,0,2,2,2,2,3,1,2,1,13,11,939944841,"4/25/2016 12:09:08",1968431852,"4/25/2016 11:50:32","false","prodege",1,1854070,"USA","NJ","Woodbury","73.199.97.128","gc7wbs06sd24-57xo5ftqu4vr",1854070,NA,TRUE,TRUE,TRUE,"2016-04-25",7,"morning",0.883928571428571,4572.5,7423.5,4839
"52","gdh36dogvbof",21,"male","en","highschool",3,"yes","Fri_Apr_22_2016_10-33-20","Fri_Apr_22_2016_10-53-24","127.4.234.129","Firefox",45,"no",NA,"yes",NA,"no",NA,2016-04-22 10:53:24,2016-04-22 10:33:20,20.0666666666667,"highschool",1,1,2,3,2,1,2,1,2,3,13,11,939041721,"4/22/2016 16:53:53",1967084724,"4/22/2016 16:31:52","false","elite",1,36620182,"USA","NY","Rochester","104.152.190.165","gdh36dogvbof-57xo5ftqu4vr",36620182,"",TRUE,TRUE,TRUE,"2016-04-22",10,"morning",0.625,1078.5,20085,1133.5
